Columns	ConvolutionKernel	FrameOfReferenceUID	ImageOrientationPatient	ImagePositionPatient	PixelSpacing	ReconstructionMethod	Rows	SOPInstanceUID	SliceThickness
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-281.271	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.221738052380649273189967829411	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-142.896	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.221899535324970739058585792623	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-355.521	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.222774839458237321459817436150	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-581.646	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.224440459409926291117076685166	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-180.021	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.225036086713197073817299362015	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-379.146	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.227081289279257577214017223090	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-321.771	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.227948059271367634412890586994	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-487.146	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.228755433214382668984541352487	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-385.896	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.229551935612292209017211429964	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-298.146	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.230073668581569276514207260339	3.3750001
